input,output
I'm happy.,ကျွန်တော် ပျော်တယ်။
I'm nervous.,ကျွန်တော် စိတ်ရှုပ်ထွေးတယ်။
I am confused.,ကျွန်တော် ဝေခွဲမရ ရှုပ်ထွေးနေတယ်။
I'm excited.,ကျွန်တော် စိတ်လှုပ်ရှားတယ်။
I am very happy.,ကျွန်တော် သိပ်ပျော်တယ်။
I'm extremely tired.,ကျွန်တော် အလွန်အမင်း ပင်ပန်းတယ်။
I'm super excited.,ကျွန်တော် အရမ်းအရမ်း စိတ်လှုပ်ရှားပါတယ်။
I'm crying.,ကျွန်တော် ငိုနေတယ်။
I am reading newspaper.,ကျွန်တော် သတင်းစာဖတ်နေတယ်။
I'm leaving tomorrow.,မနက်ဖြန် ကျွန်တော် သွားတော့မယ်။
I'm leaving now.,ကျွန်တော် အခုပဲ သွားပြီ။
He isn't working next week.,သူ နောက်တစ်ပါတ်မှာ အလုပ် လုပ်တော့မှာ မဟုတ်ဘူး။
I'm from Mandalay.,ကျွန်တော် မန္တလေးကပါ။
I am in the office at the moment.,အခု လောလောဆယ် ကျွန်တော် ရုံးမှာ ရှိပါတယ်။
I'm twenty three years old.,ကျွန်တော် အသက် ၂၃ နှစ်ပါ။
I'm good at drawing.,ကျွန်တော်က ပုံဆွဲတာ တော်ပါတယ်။
I am good at video games.,ကျွန်တော်က ဗီဒီယိုဂိမ်း ကစားရာမှာ တော်ပါတယ်။
I am good at sports.,ကျွန်တော်က အားကစားမှာ တော်ပါတယ်။
I'm good at math.,ကျွန်တော်က သင်္ချာတွက်ရာမှာ တော်ပါတယ်။
I'm good at chess.,ကျွန်တော်က စစ်တုရင် ကစားရာမှာ တော်ပါတယ်။
I'm getting better.,ကျွန်တော် နေကောင်းလာပြီ။
I'm getting a tooth ache.,ကျွန်တော် သွားကိုက်နေပြီ။
I am getting a cold.,ကျွန်တော် အအေးမိနေပြီ။
I'm getting a job.,ကျွန်တော် အလုပ် တစ်ခု ရနေပြီ။
I am getting a tired.,ကျွန်တော် ပင်ပန်းနေပြီ။
I'm getting a new car.,ကျွန်တော်မှာ ကား အသစ် တစ်စီး ရနေပြီ။
I'm getting a puppy.,ကျွန်တော်မှာ ခွေးပေါက်ကလေး တစ်ကောင် ရနေပြီ။
I'm getting ready for bed.,ကျွန်တော် အိပ်ယာ ဝင်ဖို့ အသင့် ဖြစ်ပါပြီ။
I am getting ready for the match.,ကျွန်တော် ပြိုင်ပွဲ ဝင်ဖို့ အဆင်သင့် ဖြစ်ပါပြီ။
I'm trying to get a job.,ကျွန်တော် အလုပ် တစ်ခု ရဖို့ ကြိုးစားနေပါတယ်။
I'm trying to speak English fluently.,ကျွန်တော် အင်္ဂလိပ်စာကို မြန်ဆန်စွာ ပြောတတ်ဖို့ ကြိုးစားနေပါတယ်။
I am trying to educate the learners.,ကျွန်တော် လေ့လာသူတွေကို ပညာ မျှဝေ သင်ကြားပေးဖို့ ကြိုးစားနေပါတယ်။
I'm trying to explain about this case.,ကျွန်တော် ဒီကိစ္စနဲ့ ပါတ်သတ်ပြီး ရှင်းပြဖို့ ကြိုးစားနေပါတယ်။
I'm trying to eat healthy.,ကျွန်တော် ကျန်းမာရေးနဲ့ ညီညွတ်အောင် စားသောက်ဖို့ ကြိုးစားနေပါတယ်။
I am trying to understand myself.,ကျွန်တော်ကို ကျွန်တော် နားလည်ဖို့ ကြိုးစားနေပါတယ်။
I used to walk every day.,ကျွန်တော် နေ့တိုင်း လမ်းလျှောက်ထွက်တဲ့ အလေ့အကျင့် ရှိခဲ့ပါတယ်။
I used to smoke.,ကျွန်တော် ဆေးလိပ် သောက်တဲ့ အကျင့် ရှိခဲ့ပါတယ်။
I used to live in Myingyan.,ကျွန်တော် မြင်းခြံမှာ နေခဲ့ဖူးပါတယ်။
I used to start work at 7 o'clock.,ကျွန်တာ် ၇ နာရီမှာ အလုပ် စဆင်းတဲ့ အကျင့် ရှိခဲ့ပါတယ်။
I used to paint.,ကျွန်တော် ပန်းချီဆွဲတဲ့ အကျင့် ရှိခဲ့ပါတယ်။
There used to be a cinema here.,ဒီနေရာမှာ ရုပ်ရှင်ရုံ တစ်ရုံ ရှိခဲ့ဖူးတယ်။
I have to go now.,ကျွန်တော် အခု သွားရမယ်။
I have to switch schools.,ကျွန်တော် ကျောင်း ပြောင်းရမယ်။
I have to go to the bank to tranfer the money.,ကျွန်တော် ငွေ လွှဲပို့ဖို့အတွက် ဘဏ်ကို သွားရမယ်။
I have to finish the term paper today.,ကျွန်တော် စာတမ်းကို ဒီနေ့ အပြီးသတ်ရမယ်။
I don't have to switich schools.,ကျွန်တော် ကျောင်း ပြောင်းရမှာ မဟုတ်ဘူး။
I don't have to get there on time.,ကျွန်တော် အဲ့ဒီကို အချိန်မှီ ရောက်ဖို့ မလိုဘူး။
The boss is away today.,ဒီနေ့ သူဌေးက အဝေးကို သွားနေတယ်။
I don't have to work overtime on Saturday.,စနေနေ့မှာ ကျွန်တော် အချိန်ပို လုပ်ဖို့ မလိုဘူး။
Do I have to work overtime on Saturday?,စနေနေ့မှာ ကျွန်တော် အချိန်ပို လုပ်ရမှာလား။
I have got to take this book back to the library or I'll get a fine.,ကျွန်တော် ဒီစာအုပ်ကို စာကြည့်တိုက်သို့ ပြန်ပို့ပေးရမယ်၊ သို့မဟုတ်လျင် ကျွန်တော် ဒဏ်ကြေး ပေးရလိမ့်မယ်။
I must og to bed earlier.,ကျွန်တော် စောစော အိပ်ယာ ထရမယ်။
I must go and see my brother every Sunday.,တနင်္ဂနွေ နေ့တိုင်း ကျွန်တော့် ညီကို  သွားတွေ့ရမယ်။
I have to arrive at work at 9 sharp.,ကျွန်တော် အလုပ်ကို ၉ နာရီ တိတိမှာ ရောက်ရမယ်။
My boss is very strict.,ကျွန်တော့် သူဌေးက စည်းကမ်း တင်းကျပ်တယ်။
I have to send a report to Head Office every week.,ကျွန်တော် အပါတ်တိုင်း ရုံးချုပ်ကို အစိရင်ခံစာ တစ်စောင် ပေးပို့ရပါတယ်။
I will have to explain to him.,ကျွန်တော် သူ့ကို ရှင်းပြ ရပါ့လိမ့်မယ်။
I would have to do it for my Managing Director.,ကျွန်တော့် ဆရာ ညွှန်ကြားရေးမှူး အတွက် အဲ့ဒါကို လုပ်ပေး ရပါ့လိမ့်မယ်။
Miss Universe has to be fluent in English.,မယ်စက်ြာဝဠာဟာ အင်္ဂလိပ်စာကို သွက်လက် ချောမွေ့စွာ ပြောရပါမယ်။
Miss Universe must be beautiful and talented.,မယ်စက်ြာဝဠာဟာ လှပပြီး ပင်ကိုယ် အရည်အချင်း ရှိရမယ်။
I plan to find a new apartment.,ကျွန်တော် အခန်း အသစ် ရှာဖို့ စိတ်ကူး နေခဲ့ဖူးပါတယ်။
I plan to relex on vacation.,ကျွန်တော် အပန်းဖြေ ခရီးမှာ အနားယူဖို့ ကြံစည် နေခဲ့ဖူးပါတယ်။
I plan to suprise my parents.,ကျွန်တော့် မိဘတွေကို အံဲ့ဩအောင် လုပ်ဖို့ စီမံ နေခဲ့ဖူးပါတယ်။
I plan to go abroad.,ကျွန်တော် နိုင်ငံခြား သွားဖို့ ပြင်ဆင် နေခဲ့ဖူးပါတယ်။
I plan to adopt a child.,ကျွန်တော် ကလေး တစ်ယောက် မွေးစားဖို့ လုပ်နေပါတယ်။
I plan to watch a movie.,ကျွန်တော် ရုပ်ရှင် ကြည့်ဖို့ စီစဉ် နေခဲ့ဖူးပါတယ်။
I plan to save more money.,ကျွန်တော် ပိုက်ဆံ ပိုစုဖို့ အစီအစဉ် ချနေပါတယ်။
I've decided to complete my degree.,ကျွန်တော်ရဲ့ ဘွဲ့ကို ပြီးဆုံးအောင် သင်ယူဖို့ ဆုံးဖြတ်လိုက်ပြီ။
I've decided to change my bed habits.,ကျွန်တော့်ရဲ့ ဆိုးဝါးတဲ့ အကျင့်တွေကို ပြင်ဖို့ ဆုံးဖြတ်လိုက်ပြီ။
I have decided to extend my membership at the libary.,စာကြည့်တိုက်မှာ ကျွန်တော် အသင်းဝင် သက်တမ်း တိုးမြှင့်ဖို့ ဆုံးဖြတ်လိုက်ပြီ။
I have decided to hand over my responsibilities.,ကျွန်တော့်ရဲ့ လုပ်ဆောင်ရမယ့် တာဝန်တွေကို လွှဲပြောင်းပေးဖို့ ဆုံးဖြတ်လိုက်ပြီ။
I've decided to increase my work load.,ကျွန်တော့်ရဲ့ အလုပ်တာဝန်း ပမာဏကို တိုးမြှင့်ယူဖို့ ဆုံးဖြတ်လိုက်ပြီ။
I have decided to manage a store.,အရောင်းဆိုင် တစ်ခုကို အုပ်ချုပ် စီမံဖို့ ဆုံးဖြတ်လိုက်ပြီ။
I was about to go out.,ကျွန်တော် အပြင် ထွက်တော့မလို့ပါ။
I was about to go to dinner.,ကျွန်တော် ညစာ စားပွဲကို သွားတော့မလို့ပါ။
